2019-12-02,07:35:22,17:34:13
2019-12-03,07:36:18,17:35:48
2019-12-04,07:31:38,18:57:38
2019-12-05,07:29:01,14:14:47,15:04:51,17:35:09
2019-12-06,07:36:42,17:41:06
2019-12-09,07:31:52,17:44:11
2019-12-10,07:32:37,19:07:33
2019-12-11,07:32:53,18:50:00
2019-12-12,07:21:07,14:54:00,15:06:00
2019-12-13,07:30:22,17:52:40
2019-12-14,08:41:43,16:51:29
2019-12-16,07:17:40,17:39:26
2019-12-17,07:28:11,17:41:39
2019-12-18,07:33:10
2019-12-19,07:23:49
2019-12-20,07:28:54,18:00:01
2019-12-22,14:55:46,15:23:41
2019-12-23,07:31:39,12:26:00
2019-12-26,07:26:58,17:53:56
2019-12-27,07:23:13,14:38:45,15:53:00,18:08:16
2019-12-30,07:13:00,18:03:26
2019-12-31,07:38:06,17:51:37
2020-01-02,07:32:18,11:50:01
2020-01-03,18:12:09
2020-01-06,07:24:10,15:49:32,17:04:48,17:48:24
2020-01-07,07:41:51,17:33:52
2020-01-08,07:32:39,17:39:00
2020-01-09,07:35:20,17:47:00
2020-01-10,07:23:08,15:25:00,15:53:00,17:45:10
2020-01-11,08:43:00,10:33:00,10:51:00,12:08:55,14:18:40,17:11:21
2020-01-13,07:33:14,17:54:19
2020-01-14,07:22:05,17:38:00,20:37:00,20:46:23
2020-01-15,07:21:00,17:40:00
2020-01-16,07:32:11,19:03:15
2020-01-17,07:19:00,17:51:40
2020-01-18,11:13:00,12:51:28
2020-01-19,07:33:36,09:33:00,09:42:00,14:00:56,16:21:25,17:56:24
2020-01-20,07:34:11,17:54:56
2020-01-21,07:36:50,12:25:48,15:01:51,17:40:56
2020-01-22,07:20:22,17:51:09
2020-01-23,07:15:47,10:43:11,11:19:00,13:57:53,15:05:44,17:34:53
2020-01-26,10:31:03,13:44:36
2020-01-27,10:28:29,14:32:00
2020-01-28,09:26:39,11:45:00,11:45:00,11:46:00,14:26:00
2020-01-30,10:24:00,14:34:00,15:23:00,17:24:37
2020-02-01,10:51:46,14:06:22
2020-02-02,11:02:39,12:44:00,13:10:00,15:10:44
2020-02-03,08:57:00,14:01:00
2020-02-04,11:02:00,11:02:00,14:14:00
2020-02-05,10:58:16,12:45:40
2020-02-06,09:03:04,14:34:44
2020-02-07,10:49:00,13:30:27
2020-02-08,11:23:00,12:44:38
2020-02-10,08:14:02,18:10:48
2020-02-11,08:05:26,14:56:40
2020-02-12,08:36:03,14:58:40,16:07:00,17:57:03
2020-02-13,08:08:41,13:15:33
2020-02-14,09:32:00,17:12:00
2020-02-17,07:49:00,17:31:48
2020-02-18,08:20:11,17:47:00
2020-02-19,08:11:53,15:19:00,15:39:00,17:51:42
2020-02-20,08:17:01,17:34:17
2020-02-21,08:24:27,17:35:27
2020-02-22,09:08:47,17:33:35
2020-02-23,09:49:26,12:45:58
2020-02-24,08:09:51,17:36:00
2020-02-25,08:16:59,17:34:12
2020-02-26,08:12:10,17:31:50
2020-02-27,08:25:24,16:43:00,17:32:20
2020-02-28,08:14:26,14:57:00,15:02:00,17:34:00
2020-03-02,08:18:14,10:40:00,10:50:00,17:34:00
2020-03-03,08:19:26,17:33:36
2020-03-04,08:14:53,17:33:32
2020-03-05,08:17:19,17:32:40
2020-03-06,08:25:18,17:33:03
2020-03-09,08:16:18,17:35:00
2020-03-10,08:17:20,17:34:00
2020-03-11,08:16:01,17:56:10
2020-03-12,08:21:05,17:58:36
2020-03-13,08:29:00,17:37:17
2020-03-16,08:15:18,17:35:00
2020-03-17,08:15:06,17:32:24
2020-03-18,08:15:35,17:33:16
2020-03-19,08:10:27,17:42:47
2020-03-20,08:15:39,17:33:13
2020-03-22,09:36:01,11:49:15
2020-03-23,08:19:30,16:29:15,16:59:27,17:34:55
2020-03-24,08:17:28,10:35:00,10:50:00,15:32:00,15:39:00,22:13:00
2020-03-25,08:16:11,10:33:00,10:58:00,18:06:15
2020-03-26,08:11:01,15:34:15,16:43:24,17:33:55
2020-03-27,08:13:41,17:36:43
2020-03-28,08:36:00,12:05:00
2020-03-30,08:14:23,17:33:38
2020-03-31,08:14:46,17:36:32
2020-04-01,06:51:26,09:03:00,10:57:00,17:33:00
2020-04-02,07:11:29,17:33:59
2020-04-03,07:01:07,17:47:00
2020-04-07,07:08:10,17:45:00
2020-04-08,07:12:57,17:45:00
2020-04-09,07:18:08,17:33:00
2020-04-10,06:53:02,17:35:37
2020-04-13,07:14:31,17:34:00
2020-04-14,07:10:49,15:47:50,16:48:08,17:33:23
2020-04-15,07:11:19,17:32:00
2020-04-16,06:55:14,17:42:00
2020-04-17,07:10:00,17:33:00
2020-04-18,08:18:07,12:29:00,13:31:00,15:45:00,16:05:00,16:11:00,16:12:00,17:36:00
2020-04-20,07:12:51,17:33:00
2020-04-21,07:09:27,17:31:26
2020-04-22,07:11:00,17:32:17
2020-04-23,07:16:27,18:42:00
2020-04-24,07:11:00,17:38:00
2020-04-26,07:12:06,12:35:00,14:24:15,17:32:13
2020-04-27,07:11:36,09:46:30,15:42:49,16:18:38,16:27:00,16:32:00,17:38:00
2020-04-28,07:13:00,17:32:00
2020-04-29,07:14:54,17:40:51
2020-04-30,07:14:33,17:59:00
2020-05-01,10:03:26,10:55:21
2020-05-02,08:29:27,09:23:00
2020-05-06,07:11:44,17:34:00
2020-05-07,07:12:05,17:37:20,17:37:21
2020-05-08,07:19:11,17:58:00
